i,X,Y
727,3.11,1.5
728,2.83,2
729,2.31,0
730,3.07,2
731,2.31,1
732,3.5,1.5
733,3.07,0
734,2.62,1.5
735,3.1,1
736,3.44,0
737,3,0
738,3,0
739,2.95,0
740,3.81,2.5
741,3.4,2
742,3.5,2.5
743,2.05,2
744,2,0
745,1.78,0
746,3.43,2.5
747,4,4
748,4,3
749,3.14,2.5
750,2.96,1.5
751,3.18,1
752,2.32,0
753,2.32,0
754,2.32,1
755,1.5,1.5
756,1,0
757,3.25,3.5
758,3.5,2
759,3,0
760,3,2
761,3,0
762,3,1
763,3.94,2
764,2.62,2
765,3.16,2
766,2.38,2
767,3.06,1
768,2.5,1.5
769,2.4,0
770,2.4,0
771,2.4,1.5
772,2.5,0
773,1.88,0
774,2.64,0
775,3.8,3.5
776,4,2
777,3.45,1.5
778,3.33,2
779,3.66,1.5
780,3.05,1.5
781,2.56,0
782,2.72,1.5
783,2.72,1
784,3.16,1
785,2.72,0
786,2.94,0
787,2.43,0
788,2.43,0
789,3.72,0
790,2.5,0
791,2.5,1.5
792,4,3.5
793,4,1.5
794,4,2
795,3.04,0
796,3.45,2
797,3.5,2
798,3.3,0
799,3.3,0
800,4,1.5
801,3.75,2
802,3.72,2.5
803,3.06,0
804,3.06,1.5
805,2.72,1
806,3.22,2
807,3.1,0
808,3.76,4
809,3.52,2
810,3.24,1
811,2.3,0
812,2.3,1
813,3.48,2.5
814,3.7,3.5
815,2,0
816,3.87,3.5
817,3.75,2
818,3.88,4
819,2.96,3
820,3.62,3.5
821,3.24,2
822,2.28,3
823,3.1,2
824,2.08,2
825,2.46,1.5
826,4,4
827,3.33,2
828,3.27,2
829,3,0
830,2.36,2
831,3.5,0
832,3.5,0
833,4,0
834,3.83,1
835,2.3,1.5
836,3.64,2
837,2.3,0
838,2.26,0
839,2.26,2
840,2.89,2.5
841,2.53,0
842,2.53,1
843,3.41,4
844,2.96,2
845,2,0
846,4,2.5
847,2,0
848,1.75,0
849,3.9,2.5
850,2.36,0
851,2.08,0
852,3.43,2.5
853,3.15,1.5
854,3.83,2.5
855,3.73,3
856,2.63,2
857,3.63,2
858,3.8,2.5
859,4,2.5
860,2.76,2.5
861,2.66,0
862,1.94,0
863,2.13,0
864,2,0
865,3.83,2.5
866,2.8,3
867,3.41,2.5
868,3.37,1.5
869,2.53,2
870,2.53,0
871,2.52,2
872,3.63,2.5
873,3.52,3
874,3.18,2
875,2.5,2.5
876,2.46,2
877,3.57,1.5
878,3.24,2
879,4,2.5
880,3.88,2.5
881,2.66,2.5
882,2.85,2
883,2.81,1
884,3.51,1
885,3.62,1
886,3.6,0
887,2.44,1.5
888,2.44,0
889,3.51,2.5
890,2.55,1
891,2.41,0
892,2.89,0
893,2.41,0
894,2.89,0
895,3.25,0
896,3.25,0
897,2.89,2
898,2.82,0
899,3.25,1.5
900,2.41,1
901,2.05,1.5
902,2.05,0
903,2.81,1.5
904,2.81,0
905,2.5,1.5
906,2.5,0
907,2.71,0
908,2.71,1
909,3.6,3
910,3.34,2
911,3.12,2
912,3.66,3
913,3.87,4
914,2.18,2
915,1.78,1.5
916,3.94,3.5
917,3.12,2
918,2.88,1.5
919,3.48,2.5
920,3.12,4
921,3.5,2.5
922,3.73,2
923,3,2.5
924,3.37,2.5
925,3.68,2.5
926,2.65,1.5
927,2.71,0
928,2,0
929,3.89,2
930,3,2.5
931,1.5,1
932,1.5,0
933,2.12,0
934,1.5,0
935,2.62,1.5
936,3.62,1.5
937,3.64,2
938,3.58,2
939,2.93,0
940,2.93,0
941,2.08,1.5
942,3.62,2
943,2.38,0
944,3.36,2.5
945,4,3
946,3.83,2.5
947,2.72,1
948,2.48,1
949,3.63,2.5
950,3.01,1
951,3.01,2
952,2.58,1
953,3.23,2
954,2.4,1
955,2.77,0
956,3.92,2
957,2.72,0
958,3.07,2
959,3.07,1
960,2.32,0
961,2.77,1
962,3.01,1
963,2.62,0
964,1.66,0
965,2.1,1
966,2.12,0
967,3,2
968,2.92,0
969,2.92,2
970,3.07,2
971,3.07,0
972,3.25,1.5
973,3.41,1
974,2.05,0
975,3.08,0
976,3.08,0
977,3.73,0
978,3.73,0
979,1.93,0
980,2.64,0
981,3.48,3.5
982,3.56,2.5
983,3.66,2
984,3.68,2.5
985,3.54,2.5
986,2.25,0
987,2.67,0
988,2.67,1
989,2.25,0
990,2.18,1.5
991,2.47,1.5
992,3.94,1
993,2.68,1.5
994,2.47,0
995,3.72,2.5
996,3.89,2.5
997,3.37,2
998,2.65,2
999,2.65,1
1000,2.21,1.5
1001,2.91,1.5
1002,2.72,0
1003,2.54,0
1004,2.54,1.5
1005,2.72,1
1006,3.66,2.5
1007,3.5,2.5
1008,3,2.5
1009,1.88,1
1010,2.71,0
1011,2.71,0
1012,2.58,0
1013,3.13,2
1014,3.78,2.5
1015,1.93,2
1016,1.53,0
1017,3.64,3.5
1018,3.02,2
1019,3.18,2
1020,2.73,1.5
1021,3.42,2.5
1022,3.34,2
1023,3.34,0
1024,3.34,0
1025,3.34,0
1026,3.6,1.5
1027,2.5,0
1028,2.66,1.5
1029,2.2,1
1030,3.18,2
1031,4,3
1032,3.42,2.5
1033,3.02,2
1034,3.72,2.5
1035,2.36,0
1036,3.92,3.5
1037,3.4,3
1038,3.81,2.5
1039,3.75,2.5
1040,3.5,2
1041,3.88,1.5
1042,3.61,2.5
1043,3.88,4
1044,3.75,3
1045,3.31,2
1046,4,4
1047,3.82,2.5
1048,4,2.5
1049,2.77,2
1050,3.87,2
1051,3.25,2
1052,2.88,1
1053,3.87,0
1054,3.33,1
1055,3.33,0
1056,3.72,1
1057,4,2
1058,3.7,2
1059,3.28,2.5
1060,3.6,1.5
1061,3.34,0
1062,3.9,1
1063,3.5,1
1064,3.9,1
1065,3.34,1
1066,3.23,1
1067,3.64,2.5
1068,3.57,4
1069,3.42,2.5
1070,2.97,2
1071,3.33,2.5
1072,2.73,2.5
1073,2.2,1
1074,3.57,1.5
1075,2.89,2
1076,2.85,2
1077,3.53,2
1078,2.52,0
1079,2.52,0
1080,3.4,0
1081,3.54,3
1082,3.18,2.5
1083,3.22,2.5
1084,3.5,2.5
1085,2.9,1
1086,3.5,2.5
1087,3.59,2
1088,3.88,4
1089,3.02,1.5
1090,2.25,2
1091,2.92,1.5
1092,2.92,0
1093,2.9,0
1094,2.79,0
1095,2.35,0
1096,2.35,0
1097,4,2
1098,2.66,1
1099,3.1,2
1100,2.5,2
1101,2.5,0
1102,2.5,1
1103,2,0
1104,3.67,1
1105,4,1
1106,3.33,0
1107,3.33,1
1108,3.92,4
1109,3.75,3
1110,3.88,2.5
1111,2.92,2
1112,3.88,1
1113,2.52,1.5
1114,3.6,1.5
1115,2.57,1.5
1116,2.57,0
1117,3.26,2.5
1118,3.6,2.5
1119,3.37,2.5
1120,3.26,2
1121,3.7,2
1122,3.53,2
1123,3.28,2
1124,3.47,1
1125,3.36,2
1126,3.17,1
1127,3.33,1
1128,3.61,1
1129,2.9,0
1130,3.76,2.5
1131,3.42,2
1132,3.46,1
1133,2.57,1
1134,3.82,1.5
1135,2.4,0
1136,4,4
1137,3.62,2.5
1138,3.28,2
1139,3.95,2
1140,3.56,1.5
1141,3.53,2
1142,2.54,2.5
1143,2.94,1
1144,3.83,0
1145,1.72,0
1146,3.56,2.5
1147,3,2
1148,3.07,2.5
1149,3.96,3
1150,3.94,3
1151,3.82,4
1152,2.9,2
1153,4,4
1154,3.21,2.5
1155,3.36,2.5
1156,3.54,2.5
1157,3.5,1
1158,3.93,4
1159,3.6,3.5
1160,3.58,3
1161,3.65,2.5
1162,3.42,2
1163,3.66,2
1164,3.18,2
1165,3.8,2
1166,3.82,2
1167,3.44,2.5
1168,1.82,1
1169,1.82,0
1170,2.01,2
1171,4,1
1172,3.58,4
1173,2.4,3
1174,3.45,3
1175,3,3
1176,2.11,2.5
1177,2.66,1.5
1178,1.62,2
1179,3.25,2
1180,2.23,2
1181,3.2,2
1182,3.6,2.5
1183,2.5,2.5
1184,3.56,2
1185,1.5,1.5
1186,2.88,2
1187,2.75,1.5
1188,2.63,2
1189,3.18,2
1190,2.4,2
1191,2.77,1
1192,2.62,1
1193,2.11,1
1194,2.86,2
1195,3.13,2
1196,2.86,0
1197,3.37,1
1198,2.44,0
1199,3.12,0
1200,3.8,4
1201,3.92,4
1202,3.55,2.5
1203,3.84,2.5
1204,3.4,2.5
1205,2.94,1.5
1206,3.26,2.5
1207,3.46,3
1208,3.78,2
1209,3.26,2
1210,2.92,2
1211,3.72,2
1212,2.9,0
1213,2.42,2
1214,3.12,2
1215,2.74,0
1216,2.45,1
1217,2.68,1
1218,2.45,0
1219,2.74,1
1220,3.47,0
1221,2.92,2
1222,2.9,1
1223,2.06,2
1224,2.12,1
1225,2.74,0
1226,2.42,0
1227,3.5,0
1228,2.26,0
1229,1.96,0
1230,2.84,0
1231,1.85,0
1232,2.9,0
1233,1.76,0
1234,2.26,1
1235,1.96,1
1236,3.6,2.5
1237,1.96,2
1238,1.38,0
1239,2.62,2.5
1240,3,2
1241,3.12,2.5
1242,3.35,2
1243,3.28,1.5
1244,2.8,2
1245,3.15,1.5
1246,3.8,2
1247,3.5,4
1248,2.65,1.5
1249,2.78,2
1250,2.46,1.5
1251,3.91,3
1252,3.66,4
1253,2.54,4
1254,3.6,4
1255,4,4
1256,3.4,4
1257,3.83,4
1258,3.75,4
1259,3.4,2.5
1260,2.62,3.5
1261,3,3.5
1262,3.81,4
1263,3.62,3
1264,3.85,2.5
1265,3.61,2.5
1266,3.3,2
1267,3.83,2.5
1268,3.57,2
1269,2.91,2
1270,3.8,2.5
1271,3.55,3.5
1272,3.39,2
1273,3.18,2
1274,3.44,2.5
1275,2.62,2
1276,1.88,2
1277,3.24,2
1278,2.37,2.5
1279,3.34,2
1280,2.5,2
1281,3.06,1.5
1282,3.18,2
1283,2.52,2
1284,3.55,2
1285,3.06,0
1286,3,1
1287,2.75,2
1288,3.17,1
1289,3.46,1.5
1290,3,1
1291,2.96,1
1292,2.26,2
1293,1.85,2
1294,3,1.5
1295,2.62,0
1296,2.56,1.5
1297,2.22,2
1298,2.72,0
1299,3,0
1300,1.44,0
1301,2.55,0
1302,2.02,0
1303,2.56,0
1304,3.22,1
1305,2.44,0
1306,2.35,0
1307,1.93,0
1308,3.08,2
1309,3.22,1
1310,3.35,1.5
1311,2.47,1
1312,3.35,0
1313,3.75,4
1314,3.9,3.5
1315,3.28,3
1316,3.79,4
1317,3.41,2
1318,3.26,3
1319,1.9,0
1320,4,2
1321,2.98,2.5
1322,2.64,2.5
1323,3.01,2
1324,2.82,2
1325,3.26,1
1326,3.6,1.5
1327,2.95,1.5
1328,2.06,2
1329,1.9,2
1330,1.9,0
1331,2.06,2
1332,2.16,0
1333,1.33,0
1334,3.2,4
1335,3.15,1.5
1336,3.61,1.5
1337,2.77,0
1338,2.27,1.5
1339,2.88,0
1340,2.27,0
1341,2.88,0
1342,3.5,2
1343,2.56,2
1344,3.56,1.5
1345,3.5,1
1346,3.85,2
1347,2.77,1.5
1348,2.66,2.5
1349,3.18,1
1350,3.81,2.5
1351,2.94,2
1352,3.56,0
1353,2.77,0
1354,2.56,0
1355,4,4
1356,4,2.5
1357,3.3,2
1358,3.6,2
1359,3.8,2
1360,2.94,1
1361,2.66,0
1362,2.66,0
1363,3.12,2
1364,3.1,1
1365,3.62,2
1366,3.8,1
1367,3.7,1
1368,3.12,0
1369,3.34,2
1370,3.75,1.5
1371,4,3.5
1372,4,4
1373,3.61,3
1374,3.96,2.5
1375,3.61,2
1376,3.05,1
1377,1.63,1.5
1378,3.11,1
1379,2.38,0
1380,2.54,1
1381,2.38,1
1382,2.88,1.5
1383,2.88,0
1384,2.16,0
1385,3.4,2
1386,3.88,3
1387,3.57,3
1388,2.42,2.5
1389,3.15,2.5
1390,3.41,2
1391,3.57,2
1392,3.5,2
1393,2.71,1
1394,2.93,1.5
1395,2.64,2.5
1396,2.37,1
1397,2.3,2
1398,2.13,2
1399,1.63,1
1400,3.95,3
1401,3.82,2.5
1402,3.96,2.5
1403,3.94,1.5
1404,3.07,1.5
1405,3.5,2.5
1406,3.08,2.5
1407,3.65,2.5
1408,1.93,2.5
1409,2.47,1
1410,3.02,1.5
1411,2.89,2
1412,2.56,2
1413,2.6,1
1414,3.82,3
1415,3.28,3.5
1416,4,2.5
1417,4,3
1418,3.95,2.5
1419,3.54,2
1420,2.9,2
1421,3.12,2
1422,2.82,2.5
1423,3.14,1
1424,2.32,2
1425,2.32,2
1426,2.02,1
1427,3.14,1.5
1428,2.07,1
1429,3.2,1.5
1430,2.06,2.5
1431,2.81,2
1432,4,3.5
1433,3.92,2.5
1434,3.72,2.5
1435,3.82,2
1436,3.54,2
1437,4,1.5
1438,3.5,0
1439,2.25,1
1440,2.25,0
1441,3.5,1
1442,3.63,2
1443,3.95,2
1444,3.75,1.5
1445,3.78,1.5
1446,2.4,2
1447,2.4,0
1448,2.84,0
1449,3.5,0
1450,3.73,2.5
1451,3.8,2.5
1452,2.94,2
1453,3.6,2
1454,3.75,2.5
1455,3.65,2.5
1456,3.05,1.5
1457,3.54,2
1458,3.68,2.5
1459,2.59,2
1460,2.48,0
1461,2.42,0
1462,3.86,2.5
1463,4,2.5
1464,3.86,2.5
1465,3.02,2
1466,4,3
1467,3.96,2.5
1468,3.8,2.5
1469,4,2
1470,3.75,2
1471,3.7,2
1472,3.95,2
1473,3.66,2
1474,2.37,2
1475,2.46,1
1476,3.53,1.5
1477,2.93,2
1478,2.4,1.5
1479,3.8,2
1480,3.29,1
1481,2.33,1.5
1482,3.27,1
1483,2.86,0
1484,3.04,2
1485,2.16,0
1486,3.36,2
1487,2.6,0
1488,2.08,1.5
1489,2.16,0
1490,3.26,0
1491,2.4,0
1492,2.11,2.5
1493,2.6,0
1494,2.37,0
1495,3.26,1
1496,2.86,0
1497,2.16,0
1498,3.68,2
1499,3.75,1
1500,3.5,1.5
1501,3.65,2.5
1502,3.62,3.5
1503,4,4
1504,3,2.5
1505,2.66,2.5
1506,2,2
1507,3.61,2
1508,3.61,2
1509,3.75,1.5
1510,1.94,2
1511,2.27,1
1512,1.75,0
1513,2.44,1
1514,1.75,0
1515,3.61,2
1516,1.75,2
1517,3.74,1.5
1518,2.48,0
1519,2.48,0
1520,2.48,0
1521,3.77,2
1522,3.25,1.5
1523,3.66,1
1524,3.25,0
1525,3.96,3.5
1526,3.91,4
1527,3.64,2.5
1528,3.62,2.5
1529,3.42,2.5
1530,3.14,2
1531,3.66,2.5
1532,3.14,2.5
1533,3.81,2.5
1534,2.78,1
1535,3.38,4
1536,3.3,2.5
1537,3.06,4
1538,3.13,2.5
1539,3.53,4
1540,2.39,2.5
1541,3.64,2.5
1542,3.52,2.5
1543,2.8,2.5
1544,3.03,2
1545,3.25,2.5
1546,3.1,2
1547,3.5,3.5
1548,2.46,1
1549,3.42,2.5
1550,2.6,1.5
1551,2.4,2
1552,2.63,2
1553,2.23,1.5
1554,2.83,1
1555,2.03,2
1556,2,2
1557,3.03,2.5
1558,3.38,2.5
1559,2.29,2
1560,1.56,2
1561,2.36,1.5
1562,1.96,2
1563,2.56,1
1564,2.16,2
1565,1.76,1
1566,1.86,1.5
1567,2.1,1
1568,2.1,0
1569,1.93,1
1570,1.93,0
1571,1.75,1
1572,3.18,1
1573,2.36,0
1574,2.19,2.5
1575,1.7,1
1576,2.19,1.5
1577,2.16,1.5
1578,2,1.5
1579,2.23,0
1580,2.16,1
1581,2.36,0
1582,1.76,0
1583,2.19,0
1584,2.16,0
1585,3.67,3
1586,3.15,2
1587,3.47,2
1588,3.52,2
1589,2.05,0
