ที่,คณิตศาสตร์ (X),เทอมที่ลงแคล1 (Y)
651,2.66,2.31
652,1.78,1.73
653,2.66,1.64
654,3.68,1.42
655,1.78,0.68
656,3.7,0.64
657,3.68,2.92
658,2.92,1.65
659,1.77,1
660,2.66,2.43
661,3.27,1.8
662,3.43,1.77
663,3.27,1.73
664,2.83,0.95
665,2.83,0.93
666,4,3.06
667,3.68,2.53
668,3.93,2.31
669,3.87,2.28
670,1.91,1.72
671,3.25,1.03
672,3.87,1
673,3.08,0.62
674,4,3.4
675,3.09,2.56
676,3.68,2.45
677,3.54,2.35
678,3.54,1.87
679,3,3.62
680,2.61,2.9
681,3.5,2.89
682,2.5,2.79
683,3.38,2.12
684,4,3.28
685,3.81,2.98
686,3.42,2.95
687,3.87,2.83
688,3.9,2.81
689,3.4,2.77
690,2.65,2.48
691,3.87,2.18
692,4,2.12
693,2.65,1.65
694,2.28,0.5
695,3.35,2.83
696,3.55,2.4
697,3.43,2.2
698,2.95,0.23
699,3.88,2.74
700,3.88,3.43
701,3.76,3.19
702,3.88,3.15
703,3.7,2.84
704,3.22,2.48
705,3.94,2.42
706,3.65,2.38
707,3.58,2.25
708,3.58,2.22
709,2.98,2.12
710,3.22,2.03
711,2.86,1.78
712,2.98,1.73
713,2.86,1.31
714,4,3.5
715,2.68,1.77
716,3.42,3.09
717,2.38,3
718,2.82,2.53
719,2.38,2.29
720,3.84,2.24
721,2.38,1.65
722,3.56,1.5
723,2,1.06
724,2,1.03
725,4,3.79
726,4,3.33
727,3.11,2.96
728,2.83,2.89
729,2.31,2.06
730,3.07,2.05
731,2.31,2.05
732,3.5,2.03
733,3.07,1.79
734,2.62,1.62
735,3.1,1.53
736,3.44,1.44
737,3,1.12
738,3,0.88
739,2.95,0.23
740,3.81,2.93
741,3.4,2.5
742,3.5,3.03
743,2.05,2.59
744,2,1.73
745,1.78,1.36
746,3.43,2.64
747,4,3.53
748,4,3.39
749,3.14,2.62
750,2.96,2.27
751,3.18,2.2
752,2.32,1.95
753,2.32,1.37
754,2.32,1
755,1.5,2.33
756,1,1.5
757,3.25,3.48
758,3.5,2.77
759,3,2.23
760,3,2
761,3,1.38
762,3,1
763,3.94,2.93
764,2.62,2.7
765,3.16,2.5
766,2.38,1.89
767,3.06,2.56
768,2.5,2.39
769,2.4,2.03
770,2.4,1.85
771,2.4,1.5
772,2.5,1.31
773,1.88,1.03
774,2.64,0.22
775,3.8,3.45
776,4,3
777,3.45,2.73
778,3.33,2.53
779,3.66,2
780,3.05,1.98
781,2.56,1.97
782,2.72,1.83
783,2.72,1.78
784,3.16,1.53
785,2.72,1.53
786,2.94,1.3
787,2.43,0.83
788,2.43,0.74
789,3.72,0.17
790,2.5,2.28
791,2.5,1.8
792,4,3.23
793,4,2.45
794,4,2.45
795,3.04,1.7
796,3.45,2.73
797,3.5,2.62
798,3.3,2.09
799,3.3,0.12
800,4,2.73
801,3.75,2.58
802,3.72,2.87
803,3.06,1.77
804,3.06,1.75
805,2.72,2.29
806,3.22,1.81
807,3.1,1.3
808,3.76,3.09
809,3.52,2.58
810,3.24,2
811,2.3,1.87
812,2.3,1.83
813,3.48,3.67
814,3.7,3.36
815,2,0.7
816,3.87,3.18
817,3.75,2.68
818,3.88,3.87
819,2.96,2.48
820,3.62,3.59
821,3.24,3.12
822,2.28,3.12
823,3.1,3.03
824,2.08,2
825,2.46,1.79
826,4,4
827,3.33,2.62
